ano,id_municipio,area,desmatado,incremento,floresta,nuvem,nao_observado,nao_floresta,hidrografia,percentual_desmatado
2000,1301308,18944,235.7,0.0,16535.8,0.0,2.5,729.2,1440.8,1.244193412162162
2000,1301407,15608,287.1,0.0,14961.8,0.0,5.3,172.1,181.7,1.8394413121476167
2000,1301506,7793,138.8,0.0,7586.0,0.0,5.3,0.1,62.8,1.7810855896317208
2000,1301605,12392,75.9,0.0,11347.4,0.0,2.1,154.1,812.5,0.6124919302775985
2000,1301654,7984,329.9,0.0,7440.0,0.0,0.0,206.9,7.2,4.132014028056112
2000,1301704,33428,534.6,0.0,28990.8,0.0,2.1,3116.3,784.2,1.5992581069761875
2000,1301803,12595,149.7,0.0,12307.9,0.0,0.6,66.6,70.2,1.18856689162366
2000,1301852,2229,342.1,0.0,1450.2,0.0,0.0,132.9,303.8,15.347689546882009
2000,1301902,8927,1448.3,0.0,4983.3,0.0,0.5,829.3,1665.6,16.223815391508907
2000,1301951,26042,98.4,0.0,25650.3,0.0,1.5,3.3,288.5,0.37785116350510717
2000,1302009,4245,112.5,0.0,3804.5,0.0,0.0,155.6,172.4,2.65017667844523
2000,1302108,57555,43.5,0.0,55889.4,1.0,98.3,2.6,1520.2,0.07557988011467293
2000,1302207,19849,114.9,0.0,18849.9,0.0,8.9,142.1,733.2,0.5788704720640838
2000,1302306,71756,175.2,0.0,70314.8,0.0,6.9,97.6,1161.5,0.24416076704387085
2000,1302405,69672,1297.2,0.0,66126.0,0.0,9.6,1793.3,445.9,1.8618670341026524
2000,1302504,7381,633.3,0.0,4519.0,0.0,0.1,805.6,1423.0,8.58013819265682
2000,1302553,4001,453.4,0.0,3154.2,0.0,0.0,106.3,287.1,11.332166958260434
2000,1302603,11473,1096.7,0.0,8825.3,0.0,0.2,3.0,1547.8,9.558964525407479
2000,1302702,48689,1006.7,0.0,42691.6,0.0,17.4,4146.5,826.8,2.0676128078210687
2000,1302801,17221,74.9,0.0,14689.4,0.0,5.4,604.6,1846.7,0.4349340920968585
2000,1302900,40090,1129.0,0.0,36791.6,0.0,2.2,872.3,1294.9,2.816163631828386
2000,1303007,14132,421.7,0.0,12256.2,0.0,1.9,344.4,1107.8,2.9840079252759693
2000,1303106,5625,359.2,0.0,4553.5,0.0,0.3,281.0,431.0,6.385777777777777
2000,1303205,38114,79.6,0.0,36463.1,0.0,0.7,211.9,1358.7,0.20884714278217978
2000,1303304,41452,534.7,0.0,38526.6,0.0,27.9,1620.2,742.6,1.2899256971919328
2000,1303403,5958,883.3,0.0,1660.3,0.0,0.0,1133.2,2281.2,14.825444780127558
2000,1303502,42877,149.5,0.0,42439.7,0.0,2.3,23.7,261.8,0.3486717820743056
2000,1303536,25568,524.8,0.0,21614.9,0.0,5.4,1.1,3421.8,2.052565707133917
2000,1303569,5838,500.6,0.0,5326.0,0.0,1.1,0.0,10.3,8.574854402192532
2000,1303601,64130,186.6,0.0,62250.9,42.5,70.9,950.8,628.3,0.29097146421331666
2000,1303700,12737,111.3,0.0,12018.8,0.0,65.2,90.4,451.3,0.8738321425767449
2000,1303809,112476,1043.5,0.0,109083.6,6.4,370.6,489.6,1482.3,0.9277534762971656
2000,1303908,20467,103.8,0.0,19688.8,0.0,0.3,86.3,587.8,0.5071578638784384
2000,1303957,10776,151.4,0.0,9932.6,0.0,0.5,65.7,625.8,1.404974016332591
2000,1304005,3758,389.2,0.0,2641.4,0.0,0.0,128.7,598.7,10.356572645023949
2000,1304062,3343,137.0,0.0,3123.1,0.0,29.6,1.3,52.0,4.0981154651510625
2000,1304104,90962,266.7,0.0,87030.9,0.0,1.9,2161.1,1501.4,0.2931993579736593
2000,1304203,24186,543.7,0.0,22746.9,0.0,1.8,168.9,724.7,2.2479947076821305
2000,1304237,6619,67.7,0.0,6166.6,0.0,1.6,67.4,315.7,1.0228131137634084
2000,1304260,10448,194.2,0.0,9721.7,0.0,0.0,100.3,431.8,1.858728943338438
2000,1304302,28012,299.2,0.0,26642.5,0.0,0.9,423.0,646.4,1.0681136655718977
2000,1304401,2915,82.3,0.0,142.7,0.0,0.0,1689.6,1000.4,2.8233276157804457
2000,1400027,28786,60.8,0.0,22883.8,0.0,465.5,5292.0,83.9,0.21121378447856595
2000,1400050,25869,496.4,0.0,22555.4,0.0,113.1,2610.3,93.8,1.9188990683830065
2000,1400100,5726,10.2,0.0,239.9,0.0,0.0,5381.9,94.0,0.17813482361159622
2000,1400159,8141,117.5,0.0,1832.8,0.0,13.3,6134.1,43.3,1.4433116324775825
2000,1400175,7715,885.5,0.0,5921.5,0.0,1.3,826.5,80.2,11.477640959170447
2000,1400209,47818,688.5,0.0,32047.4,7.1,11.2,14489.7,574.1,1.4398343719938098
2000,1400233,12120,537.3,0.0,11477.1,1.6,8.0,12.8,83.2,4.433168316831683
2000,1400282,14271,459.1,0.0,13677.6,0.0,91.4,35.5,7.4,3.2170135239296473
2000,1400308,12878,990.8,0.0,11651.0,0.0,1.3,196.3,38.6,7.6937412641714555
2000,1400407,7003,0.3,0.0,520.1,0.0,8.1,6451.9,22.6,0.004283878337855205
2000,1400456,8083,41.1,0.0,1637.5,0.0,125.2,6264.1,15.1,0.5084745762711865
2000,1400472,33847,752.8,0.0,24874.5,0.0,6.0,7642.4,571.3,2.2241262150264425
2000,1400506,4305,329.4,0.0,3969.7,0.0,0.1,0.4,5.4,7.6515679442508695
2000,1400605,1537,386.7,0.0,1148.1,0.0,0.1,0.0,2.1,25.15940143135979
2000,1400704,8117,19.2,0.0,2152.0,0.8,52.8,5884.1,8.1,0.23654059381544904
2000,1500107,1617,130.9,0.0,830.9,0.0,228.0,13.6,413.6,8.095238095238095
2000,1500131,616,524.8,0.0,91.0,0.0,0.2,0.0,0.0,85.19480519480518
2000,1500206,4361,1883.9,0.0,0.0,0.0,2680.6,43.3,70.5,43.19880761293282
2000,1500305,8382,20.2,0.0,5334.0,0.0,0.5,286.7,2740.6,0.24099260319732763
2000,1500347,7125,3963.0,0.0,3034.1,0.0,0.0,127.9,0.0,55.62105263157895
2000,1500404,22286,1143.3,0.0,18072.2,0.0,4.5,2476.4,589.6,5.1301265368392714
2000,1500503,72964,1396.3,0.0,67760.9,2.3,58.5,2715.5,1030.5,1.9136834603366042
2000,1500602,159540,2058.8,0.0,152013.6,16.2,22.5,3760.6,1668.3,1.2904600727090387
2000,1500701,6940,19.2,0.0,6572.6,0.8,1.5,209.1,136.8,0.27665706051873196
2000,1500800,185,72.7,0.0,0.0,0.0,185.5,0.0,18.4,39.2972972972973
2000,1500859,11910,862.5,0.0,10867.2,0.0,0.0,6.8,173.5,7.241813602015114
2000,1500909,1100,705.9,0.0,311.0,1.9,0.2,4.7,76.3,64.17272727272727
2000,1500958,1824,1175.8,0.0,0.0,0.0,801.3,0.0,17.3,64.4627192982456
2000,1501006,17089,833.3,0.0,15516.9,0.0,1.4,18.4,719.0,4.876236175317455
2000,1501105,4403,31.6,0.0,4053.0,0.0,0.1,61.5,256.8,0.7176924823983648
2000,1501204,3768,1325.5,0.0,1731.2,0.0,0.0,475.4,235.9,35.17781316348195
2000,1501253,2964,1554.7,0.0,1346.8,0.0,0.0,62.5,0.0,52.4527665317139
2000,1501303,1316,226.4,0.0,0.0,0.0,937.9,1.9,527.7,17.20364741641337
2000,1501402,1070,216.5,0.0,0.0,0.0,1071.1,7.1,581.3,20.233644859813086
2000,1501451,4399,673.4,0.0,3120.1,0.0,0.0,0.0,605.5,15.308024551034324
2000,1501501,189,96.0,0.0,0.0,0.0,189.4,0.0,8.3,50.79365079365079
